id,collection,dspace.entity.type,nrcan.serial.code,dc.title[en],dc.title[fr],nrcan.serial.issn,nrcan.serial.issne,nrcan.serial.notes,nrcan.serial.urlname,nrcan.serial.url
+,123456789s/22,Serial,jenvman,Journal of Environmental Management,Journal of Environmental Management,0301-4797,,,Journal of Environmental Management ,a https://www.journals.elsevier.com/journal-of-environmental-management
+,123456789s/22,Serial,jfoodeng,Journal of Food Engineering,Journal of Food Engineering,0260-8774,,,Journal of Food Engineering ,a https://www.journals.elsevier.com/journal-of-food-engineering
+,123456789s/22,Serial,jhazmat,Journal of Hazardous Materials,Journal of Hazardous Materials,,0304-3894,,Journal of Hazardous Materials ,a https://www.journals.elsevier.com/journal-of-hazardous-materials
+,123456789s/22,Serial,jhydrors,Journal of Hydrology: Regional Studies,Journal of Hydrology: Regional Studies,,2214-5818,,Journal of Hydrology: Regional Studies ,a https://www.journals.elsevier.com/journal-of-hydrology-regional-studies/
+,123456789s/22,Serial,jlossprprind,Journal of Loss Prevention in the Process Industries,Journal of Loss Prevention in the Process Industries,,0950-4230,,Journal of Loss Prevention in the Process Industries ,a https://www.journals.elsevier.com/journal-of-loss-prevention-in-the-process-industries
+,123456789s/22,Serial,jmolstruc,Journal of Molecular Structure,Journal of Molecular Structure,0022-2860,,,Journal of Molecular Structure ,a https://www.journals.elsevier.com/journal-of-molecular-structure
+,123456789s/22,Serial,jphchphbiach,Journal of Photochemistry and Photobiology A: Chemistry,Journal of Photochemistry and Photobiology A: Chemistry,,1010-6030,,Journal of Photochemistry and Photobiology A: Chemistry ,a https://www.journals.elsevier.com/journal-of-photochemistry-and-photobiology-a-chemistry
+,123456789s/22,Serial,jphchphbicphr,Journal of Photochemistry and Photobiology C: Photochemistry Reviews,Journal of Photochemistry and Photobiology C: Photochemistry Reviews,,1389-5567,,Journal of Photochemistry and Photobiology C: Photochemistry Reviews ,a https://www.journals.elsevier.com/journal-of-photochemistry-and-photobiology-c-photochemistry-reviews
+,123456789s/22,Serial,jpowsour,Journal of Power Sources,Journal of Power Sources,,0378-7753,,Journal of Power Sources ,a https://www.journals.elsevier.com/journal-of-power-sources
+,123456789s/22,Serial,jqspradt,Journal of Quantitative Spectroscopy and Radiative Transfer,Journal of Quantitative Spectroscopy and Radiative Transfer,0022-4073,,,Journal of Quantitative Spectroscopy and Radiative Transfer ,a https://www.journals.elsevier.com/journal-of-quantitative-spectroscopy-and-radiative-transfer
+,123456789s/22,Serial,jromecgeoeng,Journal of Rock Mechanics and Geotechnical Engineering,Journal of Rock Mechanics and Geotechnical Engineering,1674-7755,2589-0417,,Journal of Rock Mechanics and Geotechnical Engineering ,a https://www.journals.elsevier.com/journal-of-rock-mechanics-and-geotechnical-engineering/
+,123456789s/22,Serial,jseares,Journal of Sea Research,Journal of Sea Research,1385-1101,,,Journal of Sea Research ,a https://www.journals.elsevier.com/journal-of-sea-research
+,123456789s/22,Serial,lanurplan,Landscape and Urban Planning,Landscape and Urban Planning,0169-2046,,,Landscape and Urban Planning ,a https://www.journals.elsevier.com/landscape-and-urban-planning
+,123456789s/22,Serial,machphys,Materials Chemistry and Physics,Materials Chemistry and Physics,0254-0584,,,Materials Chemistry and Physics ,a https://www.journals.elsevier.com/materials-chemistry-and-physics
+,123456789s/22,Serial,matresb,Materials Research Bulletin,Materials Research Bulletin,,0025-5408,,Materials Research Bulletin ,a https://www.journals.elsevier.com/materials-research-bulletin
+,123456789s/22,Serial,mattoden,Materials Today Energy,Materials Today Energy,2468-6069,,,Materials Today Energy ,a https://www.journals.elsevier.com/materials-today-energy
+,123456789s/22,Serial,microchemj,Microchemical Journal,Microchemical Journal,,0026-265X,,Microchemical Journal ,a https://www.journals.elsevier.com/microchemical-journal
+,123456789s/22,Serial,microeng,Microelectronic Engineering,Microelectronic Engineering,0167-9317,,,Microelectronic Engineering ,a https://www.journals.elsevier.com/microelectronic-engineering
+,123456789s/22,Serial,microrel,Microelectronics Reliability,Microelectronics Reliability,0026-2714,,,Microelectronics Reliability ,a https://www.journals.elsevier.com/microelectronics-reliability
+,123456789s/22,Serial,mimesmat,Microporous and Mesoporous Materials,Microporous and Mesoporous Materials,1387-1811,,,Microporous and Mesoporous Materials ,a https://www.journals.elsevier.com/microporous-and-mesoporous-materials
+,123456789s/22,Serial,nanotod,Nano Today,Nano Today,1748-0132,,,Nano Today ,a https://www.journals.elsevier.com/nano-today
+,123456789s/22,Serial,prostin,Procedia Structural Integrity,Procedia Structural Integrity,2452-3216,,,Procedia Structural Integrity ,a https://www.journals.elsevier.com/procedia-structural-integrity
+,123456789s/22,Serial,procgeoas,Proceedings of the Geologists' Association,Proceedings of the Geologists' Association,0016-7878,,,Proceedings of the Geologists' Association ,a https://www.journals.elsevier.com/proceedings-of-the-geologists-association
+,123456789s/22,Serial,progoc,Progress in Oceanography,Progress in Oceanography,1042-8275,,,Progress in Oceanography ,a https://www.journals.elsevier.com/progress-in-oceanography
+,123456789s/22,Serial,renewser,Renewable and Sustainable Energy Reviews,Renewable and Sustainable Energy Reviews,1364-0321,,,Renewable and Sustainable Energy Reviews ,a https://www.journals.elsevier.com/renewable-and-sustainable-energy-reviews
+,123456789s/22,Serial,scrmat,Scripta Materialia,Scripta Materialia,1359-6462,,,Scripta Materialia ,a https://www.journals.elsevier.com/scripta-materialia
+,123456789s/22,Serial,sensactubch,Sensors and Actuators: B. Chemical,Sensors and Actuators: B. Chemical,1424-8220,,,Sensors and Actuators: B. Chemical ,a https://www.journals.elsevier.com/sensors-and-actuators-b-chemical
+,123456789s/22,Serial,seputec,Separation and Purification Technology,Separation and Purification Technology,1383-5866,,,Separation and Purification Technology ,a https://www.journals.elsevier.com/separation-and-purification-technology
+,123456789s/22,Serial,senmsoc,Solar Energy Materials & Solar Cells,Solar Energy Materials & Solar Cells,0927-0248,,,Solar Energy Materials & Solar Cells ,a https://www.journals.elsevier.com/solar-energy-materials-and-solar-cells
+,123456789s/22,Serial,solscomm,Solid State Communications,Solid State Communications,0038-1098,,,Solid State Communications ,a https://www.journals.elsevier.com/solid-state-communications
+,123456789s/22,Serial,solselec,Solid-State Electronics,Solid-State Electronics,0038-1101,,,Solid-State Electronics ,a https://www.journals.elsevier.com/solid-state-electronics
+,123456789s/22,Serial,sucotec,Surface and Coatings Technology,Surface and Coatings Technology,0257-8972,,,Surface and Coatings Technology ,a https://www.journals.elsevier.com/surface-and-coatings-technology
+,123456789s/22,Serial,thermocacta,Thermochimica Acta,Thermochimica Acta,,0040-6031,,Thermochimica Acta ,a https://www.journals.elsevier.com/thermochimica-acta
+,123456789s/22,Serial,thinsf,Thin Solid Films,Thin Solid Films,0040-6090,,,Thin Solid Films ,a https://www.journals.elsevier.com/thin-solid-films
+,123456789s/22,Serial,plpres,Polish Polar Research,Polish Polar Research,0138-0338,2081-8262,,Polish Polar Research ,a https://www.journals.pan.pl/ppr#ifa
+,123456789s/22,Serial,isijint,ISIJ International,ISIJ International,0915-1559,1347-5460,,ISIJ International ,a https://www.jstage.jst.go.jp/browse/isijinternational
+,123456789s/22,Serial,mattrans,Materials Transactions,Materials Transactions,1345-9678,1347-5320,,Materials Transactions ,a https://www.jstage.jst.go.jp/browse/matertrans/
+,123456789s/22,Serial,volcnca,Volcanica,Volcanica,2610-3540,,,Volcanica ,a https://www.jvolcanica.org/ojs/index.php/volcanica/about
+,123456789s/22,Serial,jpse,Journal of Pipeline Science and Engineering,Journal of Pipeline Science and Engineering,2667-1433,,,Journal of Pipeline Science and Engineering ,a https://www.keaipublishing.com/en/journals/journal-of-pipeline-science-and-engineering/
+,123456789s/22,Serial,resminin,"Resources, Mines and Industry","Ressources, Mines et Industrie",,,,"Ressources, Mines et Industrie ",a https://www.magazinermi.ca/
+,123456789s/22,Serial,manmgsra,"Manitoba Geological Survey, Report of Activities","Manitoba Geological Survey, Report of Activities",,,,Manitoba Geological Survey Report of Activities ,a https://www.manitoba.ca/iem/geo/field/index.html
+,123456789s/22,Serial,zootaxa,Zootaxa,Zootaxa,1175-5326,1175-5334,,Zootaxa ,a https://www.mapress.com/j/zt/
+,123456789s/22,Serial,molecules,Molecules,Molecules,1420-3049,,,Molecules ,a https://www.mdpi.com/1420-3049/23/2/377
+,123456789s/22,Serial,appsciswi,Applied Sciences,Applied Sciences,2076-3417,,,Applied Sciences ,a https://www.mdpi.com/journal/applsci
+,123456789s/22,Serial,atmosphere,Atmosphere,Atmosphere,,2073-4433,Open Access,Atmosphere ,a https://www.mdpi.com/journal/atmosphere
+,123456789s/22,Serial,builings,Buildings,Buildings,,,,Buildings ,a https://www.mdpi.com/journal/buildings
+,123456789s/22,Serial,catalysts,Catalysts,Catalysts,2073-4344,,,Catalysts ,a https://www.mdpi.com/journal/catalysts
+,123456789s/22,Serial,colinter,Colloids and Interfaces,Colloids and Interfaces,2504-5377,2504-5377,,Colloids and Interfaces ,a https://www.mdpi.com/journal/colloids
+,123456789s/22,Serial,drones,Drones,Drones,2504-446X,,open access journal - MDPI,Drones ,a https://www.mdpi.com/journal/drones
+,123456789s/22,Serial,energies,Energies,Energies,,1996-1073,,Energies ,a https://www.mdpi.com/journal/energies
+,123456789s/22,Serial,entropy,Entropy,Entropy,1099-4300,,,Entropy ,a https://www.mdpi.com/journal/entropy
+,123456789s/22,Serial,environments,Environments,Environments,2076-3298,,,Environments ,a https://www.mdpi.com/journal/environments
+,123456789s/22,Serial,fuels,Fuels,Fuels,,2673-3994,,Fuels ,a https://www.mdpi.com/journal/fuels
+,123456789s/22,Serial,geoscis,Geosciences,Geosciences,2076-3263,,,Geosciences ,a https://www.mdpi.com/journal/geosciences
+,123456789s/22,Serial,isprsijgi,ISPRS International Journal of Geo-Information,ISPRS International Journal of Geo-Information,,2220-9964,,ISPRS International Journal of Geo-Information ,a https://www.mdpi.com/journal/ijgi
+,123456789s/22,Serial,inventions,Inventions,Inventions,2411-5134,,,Inventions ,a https://www.mdpi.com/journal/inventions
+,123456789s/22,Serial,land,Land,Land,2073-445X,2073-445X,,Land ,a https://www.mdpi.com/journal/land
+,123456789s/22,Serial,membranes,Membranes,Membranes,2077-0375,,,Membranes ,a https://www.mdpi.com/journal/membranes
+,123456789s/22,Serial,metals,Metals,Metals,2075-4701,,,Metals ,a https://www.mdpi.com/journal/metals
+,123456789s/22,Serial,minerals,Minerals,Minerals,2075-163X,,Open Access,Minerals ,a https://www.mdpi.com/journal/minerals
+,123456789s/22,Serial,nanomat,Nanomaterials,Nanomaterials,2079-4991,2079-4991,,Nanomaterials ,a https://www.mdpi.com/journal/nanomaterials
+,123456789s/22,Serial,sustain,Sustainability,Sustainability,2071-1050,2071-1050,,Sustainability ,a https://www.mdpi.com/journal/sustainability
+,123456789s/22,Serial,symmetry,Symmetry,Symmetry,2073-8994,2073-8994,,Symmetry ,a https://www.mdpi.com/journal/symmetry
+,123456789s/22,Serial,water,Water,Water,2073-4441,,Water (switzerland),Water ,a https://www.mdpi.com/journal/water
+,123456789s/22,Serial,wevj,World Electric Vehicle Journal,World Electric Vehicle Journal,,2032-6653,Open Access,World Electric Vehicle Journal ,a https://www.mdpi.com/journal/wevj
+,123456789s/22,Serial,medscispe,Medicine and Science in Sports and Exercise,Medicine and Science in Sports and Exercise,,1095-9203,,Medicine and Science in Sports and Exercise ,a https://www.medscape.com/viewpublication/1068
+,123456789s/22,Serial,commbio,Communications Biology,Communications Biology,,2399-3642,,Communications Biology ,a https://www.nature.com/commsbio/
+,123456789s/22,Serial,comearenv,Communications Earth & Environment,Communications Earth & Environment,2662-4435,2662-4435,,Communications Earth & Environment ,a https://www.nature.com/commsenv/
+,123456789s/22,Serial,heredity,Heredity,Heredity,0018-067X,1365-2540,,Heredity ,a https://www.nature.com/hdy/
+,123456789s/22,Serial,natreveenv,Nature Reviews Earth & Environment,Nature Reviews Earth & Environment,2662-138X,2662-138X,,Nature Reviews Earth & Environment ,a https://www.nature.com/natrevearthenviron/
+,123456789s/22,Serial,nbt,Nature Biotechnology,Nature Biotechnology,1087-0156,1546-1696,,Nature Biotechnology ,a https://www.nature.com/nbt/
+,123456789s/22,Serial,sdata,Scientific Data,Scientific Data,,2052-4463,online only,Scientific Data ,a https://www.nature.com/sdata/
+,123456789s/22,Serial,nonpg,Nonlinear Processes in Geophysics,Nonlinear Processes in Geophysics,1607-7946,,,Nonlinear Processes in Geophysics ,a https://www.nonlinear-processes-in-geophysics.net/
+,123456789s/22,Serial,appphysnutmeta,"Applied Physiology, Nutrition and Metabolism","Applied Physiology, Nutrition and Metabolism",1715-5312,1715-5320,,"Applied Physiology, Nutrition and Metabolism ",a https://www.nrcresearchpress.com/journal/apnm
+,123456789s/22,Serial,jenvengsc,Journal of Environmental Engineering and Science,Journal of Environmental Engineering and Science,1496-2551,1496-256X,,Journal of Environmental Engineering and Science ,a https://www.nrcresearchpress.com/loi/jees
+,123456789s/22,Serial,nucwmtechr,"Nuclear Waste Management Organization, Technical Report","Nuclear Waste Management Organization, Technical Report",,,,"Nuclear Waste Management Organization, Technical Report ",a https://www.nwmo.ca/en/Reports
+,123456789s/22,Serial,spej,SPE Journal,SPE Journal,1930-0220,,,SPE Journal ,a https://www.onepetro.org/journals/SPE%20Journal/Preprint/ Preprint
+,123456789s/22,Serial,speprodop,SPE Production and Operations,SPE Production and Operations,,,,SPE Production and Operations ,a https://www.onepetro.org/journals/SPE%20Production%20-%20Operations/34/01
+,123456789s/22,Serial,optexp,Optics Express,Optics Express,1094-4087,,,Optics Express ,a https://www.osapublishing.org/oe/home.cfm
+,123456789s/22,Serial,optlet,Optics Letters,Optics Letters,0146-9592,1539-4794,,Optics Letters ,a https://www.osapublishing.org/ol/home.cfm
+,123456789s/22,Serial,ajpregu,American Journal of Physiology - Regulatory Integrative and Comparative Physiology,American Journal of Physiology - Regulatory Integrative and Comparative Physiology,,,,American Journal of Physiology - Regulatory Integrative and Comparative Physiology ,a https://www.physiology.org/journal/ajpregu
+,123456789s/22,Serial,iahsproc,Proceedings of the International Association of Hydrological Sciences,Proceedings of the International Association of Hydrological Sciences,2199-899X,,,Proceedings of the International Association of Hydrological Sciences ,a https://www.proceedings-iahs.net/index.html
+,123456789s/22,Serial,austjchem,Australian Journal of Chemistry,Australian Journal of Chemistry,0004-9425,1445-0038,,Australian Journal of Chemistry ,a https://www.publish.csiro.au/CH
+,123456789s/22,Serial,jchemengd,Journal of Chemical and Engineering Data,Journal of Chemical and Engineering Data,1520-5134,,,Journal of Chemical and Engineering Data ,a https://www.researchgate.net/journal/1520-5134_Journal_of_Chemical_Engineering_Data
+,123456789s/22,Serial,gissrs,GIScience and Remote Sensing,GIScience and Remote Sensing,07493878,,,GIScience and Remote Sensing ,a https://www.researchgate.net/journal/1548-1603_GIScience_Rem ote_Sensing
+,123456789s/22,Serial,bullamisp,Le Bulletin des Amis des phares,Le Bulletin des Amis des phares,,,,Le Bulletin des Amis des phares ,a https://www.routedesphares.qc.ca/fr/bulletin-archives.html
+,123456789s/22,Serial,anameth,Analytical Methods,Analytical Methods,1759-9679,1759-9679,,Analytical Methods ,a https://www.rsc.org/journals-books-databases/about-journals/analytical-methods/
+,123456789s/22,Serial,catscitec,Catalysis Science & Technology,Catalysis Science & Technology,2044-4761,,,Catalysis Science & Technology ,a https://www.rsc.org/journals-books-databases/about-journals/catalysis-science-technology/
+,123456789s/22,Serial,chemcomm,ChemComm,ChemComm,1364-548X,1364-548X,,ChemComm ,a https://www.rsc.org/journals-books-databases/about-journals/chemcomm/
+,123456789s/22,Serial,enscprim,Environmental Sciences: Processes and Impacts,Environmental Sciences: Processes and Impacts,2050-7895,2050-7895,,Environmental Sciences: Processes and Impacts ,a https://www.rsc.org/journals-books-databases/about-journals/environmental-science-processes-impacts/
+,123456789s/22,Serial,enscwaret,Environmental Science: Water Research and Technology,Environmental Science: Water Research and Technology,2053-1419,2053-1419,,Environmental Science: Water Research and Technology ,a https://www.rsc.org/journals-books-databases/about-journals/environmental-science-water-research-technology/
+,123456789s/22,Serial,phchchph,Physical Chemistry Chemical Physics,Physical Chemistry Chemical Physics,1463-9076,1463-9084,,Physical Chemistry Chemical Physics ,a https://www.rsc.org/journals-books-databases/about-journals/pccp/
+,123456789s/22,Serial,saetechp,SAE Technical Papers,SAE Technical Papers,,,,SAE Technical Papers ,a https://www.sae.org/publications/collections/content/dlibtp/
+,123456789s/22,Serial,jsaimm,Journal of the Southern African Institute of Mining and Metallurgy,Journal of the Southern African Institute of Mining and Metallurgy,2225-6253,2411-9717,,Journal of the Southern African Institute of Mining and Metallurgy ,a https://www.saimm.co.za/publications/journal-papers
+,123456789s/22,Serial,zdgg,Zeitschrift der Deutschen Gesellschaft fur Geowissenschaften,Zeitschrift der Deutschen Gesellschaft fur Geowissenschaften,1860-1804,1861-4094,,Zeitschrift der Deutschen Gesellschaft fur Geowissenschaften ,a https://www.schweizerbart.de/journals/zdgg
+,123456789s/22,Serial,comaichen,Computer Aided Chemical Engineering,Computer Aided Chemical Engineering,1570-7946,,,Computer Aided Chemical Engineering ,a https://www.sciencedirect.com/bookseries/computer-aided-chemical-engineering
+,123456789s/22,Serial,devminproc,Developments in Mineral Processing,Developments in Mineral Processing,0167-4528,,,Developments in Mineral Processing ,a https://www.sciencedirect.com/bookseries/developments-in-mineral-processing
+,123456789s/22,Serial,stsuscc,Studies in Surface Science and Catalysis,Studies in Surface Science and Catalysis,0167-2991,,,Studies in Surface Science and Catalysis ,a https://www.sciencedirect.com/bookseries/studies-in-surface-science-and-catalysis
+,123456789s/22,Serial,hathancal,Handbook of Thermal Analysis and Calorimetry,Handbook of Thermal Analysis and Calorimetry,1573-4374,,,Handbook of Thermal Analysis and Calorimetry ,a https://www.sciencedirect.com/handbook/handbook-of-thermal-analysis-and-calorimetry
+,123456789s/22,Serial,addman,Additive Manufacturing,Additive Manufacturing,,2214-8604,,Additive Manufacturing ,a https://www.sciencedirect.com/journal/additive-manufacturing
+,123456789s/22,Serial,advenvres,Advances in Environmental Research,Advances in Environmental Research,1093-0191,,,Advances in Environmental Research ,a https://www.sciencedirect.com/journal/advances-in-environmental-research
+,123456789s/22,Serial,agecen,"Agriculture, Ecosystems and Environment","Agriculture, Ecosystems and Environment",0167-8809,,,"Agriculture, Ecosystems and Environment ",a https://www.sciencedirect.com/journal/agriculture-ecosystems-and-environment
+,123456789s/22,Serial,appcat,Applied Catalysis,Applied Catalysis,,0166-9834,,Applied Catalysis ,a https://www.sciencedirect.com/journal/applied-catalysis
+,123456789s/22,Serial,appcatagen,Applied Catalysis A: General,Applied Catalysis A: General,0926-860X,,,Applied Catalysis A: General ,a https://www.sciencedirect.com/journal/applied-catalysis-a-general
+,123456789s/22,Serial,appsoec,Applied Soil Ecology,Applied Soil Ecology,0929-1393,,,Applied Soil Ecology ,a https://www.sciencedirect.com/journal/applied-soil-ecology
+,123456789s/22,Serial,chemengj,Chemical Engineering Journal,Chemical Engineering Journal,1385-8947,,Formerly part of The Chemical Engineering Journal and the Biochemical Engineering Journal,Chemical Engineering Journal ,a https://www.sciencedirect.com/journal/chemical-engineering-journal
+,123456789s/22,Serial,colsphenas,Colloids and Surfaces A: Physicochemical and Engineering Aspects,Colloids and Surfaces A: Physicochemical and Engineering Aspects,0927-7757,,,Colloids and Surfaces A: Physicochemical and Engineering Aspects ,a https://www.sciencedirect.com/journal/colloids-and-surfaces-a-physicochemical-and-engineering-aspects
+,123456789s/22,Serial,compstruct,Composite Structures,Composite Structures,0263-8223,,,Composite Structures ,a https://www.sciencedirect.com/journal/composite-structures
+,123456789s/22,Serial,desalinat,Desalination,Desalination,0011-9164,,,Desalination ,a https://www.sciencedirect.com/journal/desalination
+,123456789s/22,Serial,ecoleng,Ecological Engineering,Ecological Engineering,0925-8574,,,Ecological Engineering ,a https://www.sciencedirect.com/journal/ecological-engineering
+,123456789s/22,Serial,enpol,Energy Policy,Energy Policy,0301-4215,,,Energy Policy ,a https://www.sciencedirect.com/journal/energy-policy
+,123456789s/22,Serial,enagenfd,"Engineering in Agriculture, Environment and Food","Engineering in Agriculture, Environment and Food",1881-8366,,,"Engineering in Agriculture, Environment and Food ",a https://www.sciencedirect.com/journal/engineering-in-agriculture-environment-and-food
+,123456789s/22,Serial,envpolaecobio,"Environmental Pollution. Series A, Ecological and Biological","Environmental Pollution. Series A, Ecological and Biological",0143-1471,,,"Environmental Pollution. Series A, Ecological and Biological ",a https://www.sciencedirect.com/journal/environmental-pollution-series-a-ecological-and-biological
+,123456789s/22,Serial,envpolbchphy,"Environmental Pollution. Series B, Chemical and Physical","Environmental Pollution. Series B, Chemical and Physical",0143-148X,,,"Environmental Pollution. Series B, Chemical and Physical ",a https://www.sciencedirect.com/journal/environmental-pollution-series-b-chemical-and-physical
+,123456789s/22,Serial,firesafj,Fire Safety Journal,Fire Safety Journal,0379-7112,,,Fire Safety Journal ,a https://www.sciencedirect.com/journal/fire-safety-journal
+,123456789s/22,Serial,foodbiosc,Food Bioscience,Food Bioscience,2212-4292,,,Food Bioscience ,a https://www.sciencedirect.com/journal/food-bioscience
+,123456789s/22,Serial,gee,Green Energy & Environment,Green Energy & Environment,2468-0257,,,Green Energy & Environment ,a https://www.sciencedirect.com/journal/green-energy-and-environment
+,123456789s/22,Serial,ifacprvol,IFAC Proceedings Volumes,IFAC Proceedings Volumes,1474-6670,,,IFAC Proceedings Volumes ,a https://www.sciencedirect.com/journal/ifac-proceedings-volumes
+,123456789s/22,Serial,indcropro,Industrial Crops and Products,Industrial Crops and Products,0926-6690,,,Industrial Crops and Products ,a https://www.sciencedirect.com/journal/industrial-crops-and-products
+,123456789s/22,Serial,ijf,International Journal of Fatigue,International Journal of Fatigue,0142-1123,,,International Journal of Fatigue ,a https://www.sciencedirect.com/journal/international-journal-of-fatigue
+,123456789s/22,Serial,ijpvp,International Journal of Pressure Vessels and Piping,International Journal of Pressure Vessels and Piping,0308-0161,,,Journal of Pressure Vessels and Piping ,a https://www.sciencedirect.com/journal/international-journal-of-pressure-vessels-and-piping
+,123456789s/22,Serial,jalcom,Journal of Alloys and Compounds,Journal of Alloys and Compounds,0925-8388,,,Journal of Alloys and Compounds ,a https://www.sciencedirect.com/journal/journal-of-alloys-and-compounds
+,123456789s/22,Serial,jco2ut,Journal of CO2 Utilization,Journal of CO2 Utilization,2212-9820,,,Journal of CO2 Utilization ,a https://www.sciencedirect.com/journal/journal-of-co2-utilization
+,123456789s/22,Serial,jcrystgr,Journal of Crystal Growth,Journal of Crystal Growth,,0022-0248,,Journal of Crystal Growth ,a https://www.sciencedirect.com/journal/journal-of-crystal-growth
+,123456789s/22,Serial,jelspreph,Journal of Electron Spectroscopy and Related Phenomena,Journal of Electron Spectroscopy and Related Phenomena,0368-2048,,,Journal of Electron Spectroscopy and Related Phenomena ,a https://www.sciencedirect.com/journal/journal-of-electron-spectroscopy-and-related-phenomena
+,123456789s/22,Serial,jmatpt,Journal of Materials Processing Technology,Journal of Materials Processing Technology,0924-0136,,,Journal of Materials Processing Technology ,a https://www.sciencedirect.com/journal/journal-of-materials-processing-technology
+,123456789s/22,Serial,jmcatach,Journal of Molecular Catalysis A: Chemical,Journal of Molecular Catalysis A: Chemical,1381-1169,,,Journal of Molecular Catalysis A: Chemical ,a https://www.sciencedirect.com/journal/journal-of-molecular-catalysis-a-chemical
+,123456789s/22,Serial,jmgm,Journal of Molecular Graphics and Modelling,Journal of Molecular Graphics and Modelling,,1093-3263,,Journal of Molecular Graphics and Modelling ,a https://www.sciencedirect.com/journal/journal-of-molecular-graphics-and-modelling
+,123456789s/22,Serial,jmolspec,Journal of Molecular Spectroscopy,Journal of Molecular Spectroscopy,0022-2852,,,Journal of Molecular Spectroscopy ,a https://www.sciencedirect.com/journal/journal-of-molecular-spectroscopy
+,123456789s/22,Serial,jmstheochem,Journal of Molecular Structure: THEOCHEM,Journal of Molecular Structure: THEOCHEM,0166-1280,,,Journal of Molecular Structure: THEOCHEM ,a https://www.sciencedirect.com/journal/journal-of-molecular-structure-theochem
+,123456789s/22,Serial,jngse,Journal of Natural Gas Science and Engineering,Journal of Natural Gas Science and Engineering,1875-5100,1095-9203,,Journal of Natural Gas Science and Engineering ,a https://www.sciencedirect.com/journal/journal-of-natural-gas-science-and-engineering/
+,123456789s/22,Serial,jncrystsol,Journal of Non-Crystalline Solids,Journal of Non-Crystalline Solids,0022-3093,,,Journal of Non-Crystalline Solids ,a https://www.sciencedirect.com/journal/journal-of-non-crystalline-solids
+,123456789s/22,Serial,jnucmat,Journal of Nuclear Materials,Journal of Nuclear Materials,0022-3115,,,Journal of Nuclear Materials ,a https://www.sciencedirect.com/journal/journal-of-nuclear-materials
+,123456789s/22,Serial,jsschem,Journal of Solid State Chemistry,Journal of Solid State Chemistry,0022-4596,,,Journal of Solid State Chemistry ,a https://www.sciencedirect.com/journal/journal-of-solid-state-chemistry
+,123456789s/22,Serial,jlesscommet,Journal of the Less-Common Metals,Journal of the Less-Common Metals,2075-4701,,,Journal of the Less-Common Metals ,a https://www.sciencedirect.com/journal/journal-of-the-less-common-metals
+,123456789s/22,Serial,lupol,Land Use Policy,Land Use Policy,0264-8377,,,Land Use Policy ,a https://www.sciencedirect.com/journal/land-use-policy
+,123456789s/22,Serial,matchar,Materials Characterization,Materials Characterization,1044-5803,,,Materials Characterization ,a https://www.sciencedirect.com/journal/materials-characterization
+,123456789s/22,Serial,matlet,Materials Letters,Materials Letters,0167-577X,,,Materials Letters ,a https://www.sciencedirect.com/journal/materials-letters
+,123456789s/22,Serial,methoc,Methods in Oceanography,Methods in Oceanography,1042-8275,,,Methods in Oceanography ,a https://www.sciencedirect.com/journal/methods-in-oceanography
+,123456789s/22,Serial,micron,Micron,Micron,0968-4328,,,Micron ,a https://www.sciencedirect.com/journal/micron
+,123456789s/22,Serial,minsctech,Mining Science and Technology,Mining Science and Technology,0167-9031,1095-9203,,Mining Science and Technology ,a https://www.sciencedirect.com/journal/mining-science-and-technology
+,123456789s/22,Serial,molecat,Molecular Catalysis,Molecular Catalysis,2468-8231,,,Molecular Catalysis ,a https://www.sciencedirect.com/journal/molecular-catalysis
+,123456789s/22,Serial,neuroc,Neurocomputing,Neurocomputing,0925-2312,,,Neurocomputing ,a https://www.sciencedirect.com/journal/neurocomputing
+,123456789s/22,Serial,nucengdes,Nuclear Engineering and Design,Nuclear Engineering and Design,0029-5493,,,Nuclear Engineering and Design ,a https://www.sciencedirect.com/journal/nuclear-engineering-and-design
+,123456789s/22,Serial,nimpr,Nuclear Instruments and Methods In Physics Research,Nuclear Instruments and Methods In Physics Research,0167-5087,,,Nuclear Instruments and Methods In Physics Research ,a https://www.sciencedirect.com/journal/nuclear-instruments-and-methods-in-physics-research
+,123456789s/22,Serial,nimprsbbima,Nuclear Instruments and Methods in Physics Research Section B: Beam Interactions with Materials and Atoms,Nuclear Instruments and Methods in Physics Research Section B: Beam Interactions with Materials and Atoms,0168-583X,,,Nuclear Instruments and Methods in Physics Research Section B: Beam Interactions with Materials and Atoms ,a https://www.sciencedirect.com/journal/nuclear-instruments-and-methods-in-physics-research-section-b-beam-interactions-with-materials-and-atoms
+,123456789s/22,Serial,optmater,Optical Materials,Optical Materials,0925-3467,0925-3467,,Optical Materials ,a https://www.sciencedirect.com/journal/optical-materials
+,123456789s/22,Serial,palaeow,Palaeoworld,Palaeoworld,,1871-174X,,Palaeoworld ,a https://www.sciencedirect.com/journal/palaeoworld
+,123456789s/22,Serial,peldsnan,Physica E: Low-Dimensional Systems and Nanostructures,Physica E: Low-Dimensional Systems and Nanostructures,1386-9477,,,Physica E: Low-Dimensional Systems and Nanostructures ,a https://www.sciencedirect.com/journal/physica-e-low-dimensional-systems-and-nanostructuresissn
+,123456789s/22,Serial,powdtech,Powder Technology,Powder Technology,0032-5910,,,Powder Technology ,a https://www.sciencedirect.com/journal/powder-technology
